setup_pic,setup_obj,setup_col,target_pic,target_obj,target_col,condition
Blut_rot.png,Blut,rot,Erbse_gruen.png,Erbse,gruen,filler
Pokal_gold.png,Pokal,gold,Geige_braun.png,Geige,braun,nofoc
Monster_gruen.png,Monster,gruen,Salat_gruen.png,Salat,gruen,foc
Anzug_schwarz.png,Anzug,schwarz,Klavier_schwarz.png,Klavier,schwarz,foc
Tomate_rot.png,Tomate,rot,Zahn_weiss.png,Zahn,weiss,nofoc
Ring_gold.png,Ring,gold,Krone_gold.png,Krone,gold,foc
Reifen_schwarz_neu.png,Reifen,schwarz,Herz_rot.png,Herz,rot,nofoc
Brief_weiss.png,Brief,weiss,Monster_gruen.png,Monster,gruen,nofoc
Iglu_weiss.png,Iglu,weiss,Tomate_rot.png,Tomate,rot,nofoc
Holz_braun.png,Holz,braun,Tisch_braun.png,Tisch,braun,foc
Krone_gold.png,Krone,gold,Mund_rot.png,Mund,rot,nofoc
Panther_schwarz.png,Panther,schwarz,Brief_weiss.png,Brief,weiss,nofoc
Raupe_gruen.png,Raupe,gruen,Kaktus_gruen.png,Kaktus,gruen,foc
Geige_braun.png,Geige,braun,Holz_braun.png,Holz,braun,foc
Muenze_gold.png,Münze,gold,Pokal_gold.png,Pokal,gold,foc
Monster_gruen.png,Monster,gruen,Kirsche_rot.png,Kirsche,rot,nofoc
Gespenst_weiss.png,Gespenst,weiss,Panther_schwarz.png,Panther,schwarz,nofoc
