Item,Farbe,Itemtype,Condition
Kette,gold,filler,filler
Nest,braun,filler,filler
Herz,rot,context,context
Salat,gruen,target,nofoc
Ring,gold,context,context
Gespenst,weiss,target,nofoc
Reifen,schwarz,context,context
Anzug,schwarz,target,foc
Mund,rot,context,context
Krone,gold,target,nofoc
Nuss,braun,context,context
Geige,braun,target,foc
Herz,rot,context,context
Kirsche,rot,target,foc
Panther,schwarz,context,context
Reifen,schwarz,target,foc
Zahn,weiss,context,context
Pokal,gold,target,nofoc
Kaktus,gruen,context,context
Monster,gruen,target,foc
Iglu,weiss,context,context
Brief,weiss,target,foc
Nuss,braun,context,context
Klavier,schwarz,target,nofoc
Raupe,gruen,context,context
Münze,gold,target,nofoc
Kirsche,rot,context,context
Mund,rot,target,foc
Gespenst,weiss,context,context
Iglu,weiss,target,foc
Salat,gruen,context,context
Holz,braun,target,nofoc
Klavier,schwarz,context,context
Panther,schwarz,target,foc
Kirsche,rot,context,context
Nuss,braun,target,nofoc
Pokal,gold,context,context
Ring,gold,target,foc
Tisch,braun,context,context
Raupe,gruen,target,nofoc
Tomate,rot,context,context
Herz,rot,target,foc
Anzug,schwarz,context,context
Kaktus,gruen,target,nofoc
Brief,weiss,context,context
Zahn,weiss,target,foc
Mund,rot,context,context
Tomate,rot,target,foc
Klavier,schwarz,context,context
Tisch,braun,target,nofoc
